"message_from","message_date"
"GuentherMH","2010-01-22 13:00:39"
"appl3_jaxx","2010-01-22 13:00:38"
"iMacrosoft","2010-01-22 13:00:37"
"sociolingo","2010-01-22 13:00:31"
"MegMcCloskey","2010-01-22 13:00:30"
"aeusb","2010-01-22 13:00:28"
"Arden_Blake","2010-01-22 13:00:27"
"twnstar2","2010-01-22 13:00:19"
"interactivem","2010-01-22 13:00:17"
"Davewire","2010-01-22 13:00:16"
"eblessings","2010-01-22 13:00:15"
"Marnus3","2010-01-22 13:00:13"
"RosieCnLA","2010-01-22 13:00:13"
"whonews","2010-01-22 13:00:11"
"AmandaWenek","2010-01-22 13:00:10"
"hcjbglobal","2010-01-22 13:00:09"
"anthonystevens4","2010-01-22 13:00:07"
"RichsForTheHome","2010-01-22 13:00:07"
"CitysearchDC","2010-01-22 13:00:04"
"CARE_package","2010-01-22 13:00:03"
"artfanatic411","2010-01-22 13:00:03"
"monkeyonthelam","2010-01-22 13:00:03"
"twicker_net","2010-01-22 13:00:02"
"felipecelestino","2010-01-22 13:00:02"
"ReneeBowen","2010-01-22 12:59:59"
"mikepuchol","2010-01-22 12:59:57"
"OSUKips","2010-01-22 12:59:57"
"WomanofColour","2010-01-22 12:59:55"
"RunFlyingPig","2010-01-22 12:59:52"
"thereisawayjose","2010-01-22 12:59:51"
"mdotwrites","2010-01-22 12:59:50"
"ahmadfazel","2010-01-22 12:59:49"
"Minigal","2010-01-22 12:59:45"
"de_montecristo","2010-01-22 12:59:44"
"rebecamagda","2010-01-22 12:59:42"
"maddbananaz","2010-01-22 12:59:41"
"greenspeakuk","2010-01-22 12:59:39"
"TheGardenofEvil","2010-01-22 12:59:38"
"jhoncarrillo","2010-01-22 12:59:37"
"PurpleZoe","2010-01-22 12:59:34"
"Waterbrick","2010-01-22 12:59:34"
"sociolingo","2010-01-22 12:59:32"
"RebeccaDu","2010-01-22 12:59:31"
"nrgnrg","2010-01-22 12:59:22"
"geirolavlisle","2010-01-22 12:59:20"
"Prisonbreaknews","2010-01-22 12:59:17"
"BabsJmac","2010-01-22 12:59:14"
"alba_oficial","2010-01-22 12:59:14"
"homeschoolers","2010-01-22 12:59:12"
"6c4","2010-01-22 12:59:10"
"kmorrison","2010-01-22 12:59:07"
"digitalteacup","2010-01-22 12:59:07"
"camisconte","2010-01-22 12:59:07"
"inveneo","2010-01-22 12:59:06"
"nathan_kauffman","2010-01-22 12:59:03"
"tgeducation","2010-01-22 12:59:02"
"Stephsingslove","2010-01-22 12:59:02"
"AaronBBrown","2010-01-22 12:59:00"
"QuakeInHaiti","2010-01-22 12:58:58"
"Twi_Star","2010-01-22 12:58:50"
"KCAFilms","2010-01-22 12:58:50"
"portalserieb","2010-01-22 12:58:49"
"jasonargall","2010-01-22 12:58:47"
"ayam86","2010-01-22 12:58:47"
"murmur55","2010-01-22 12:58:46"
"PamelaCardenas","2010-01-22 12:58:46"
"osfmjpope","2010-01-22 12:58:45"
"SophieToupie","2010-01-22 12:58:44"
"karoolribeiro","2010-01-22 12:58:40"
"StreetSkolla","2010-01-22 12:58:39"
"SamanthaReho","2010-01-22 12:58:38"
"_karina_jonas_","2010-01-22 12:58:36"
"vioart527","2010-01-22 12:58:35"
"namnum","2010-01-22 12:58:35"
"sociolingo","2010-01-22 12:58:33"
"pdiyakov","2010-01-22 12:58:31"
"KyleSchwahn","2010-01-22 12:58:29"
"isa97","2010-01-22 12:58:18"
"peacerabbit2224","2010-01-22 12:58:16"
"patjarrett","2010-01-22 12:58:15"
"DaGoodness","2010-01-22 12:58:14"
"MlleMitchell","2010-01-22 12:58:12"
"dgutte","2010-01-22 12:58:12"
"_karina_jonas_","2010-01-22 12:58:12"
"epiccolorado","2010-01-22 12:58:09"
"kacike1931","2010-01-22 12:58:09"
"marganina","2010-01-22 12:58:05"
"nuriteinik","2010-01-22 12:58:05"
"TELUSspin","2010-01-22 12:58:04"
"DoseDotCa","2010-01-22 12:58:03"
"paauulii","2010-01-22 12:58:03"
"Cheli_C","2010-01-22 12:58:01"
"hannahsearson","2010-01-22 12:57:57"
"eggheader","2010-01-22 12:57:57"
"cbnu","2010-01-22 12:57:54"
"PangeforPrez","2010-01-22 12:57:52"
"DVIDSHub","2010-01-22 12:57:51"
"Denicalifornia","2010-01-22 12:57:48"
"travelzoo","2010-01-22 12:57:46"
"FierceFab","2010-01-22 12:57:45"
"kcts9","2010-01-22 12:57:45"
"Pedro_Castro","2010-01-22 12:57:42"
"petthh","2010-01-22 12:57:42"
"nlinton","2010-01-22 12:57:42"
"C4m1lLA","2010-01-22 12:57:42"
"VisionMundialMx","2010-01-22 12:57:39"
"iamjamesmartin","2010-01-22 12:57:37"
"ConeLLC","2010-01-22 12:57:32"
"llacigart","2010-01-22 12:57:31"
"robotec","2010-01-22 12:57:29"
"LoriHCG","2010-01-22 12:57:28"
"isa97","2010-01-22 12:57:28"
"sspcampsie","2010-01-22 12:57:25"
"mewcomm","2010-01-22 12:57:22"
"keithkall","2010-01-22 12:57:17"
"AlizaMS","2010-01-22 12:57:17"
"lucianoreisfm","2010-01-22 12:57:17"
"VieDecor","2010-01-22 12:57:15"
"spiraluptoday","2010-01-22 12:57:14"
